flight_date,flight_status,airline,flight,aircraft,live,departure_airport,departure_time,arrival_airport,arrival_time
2024-11-16T01:25:00+00:00,scheduled,Air France,AF381,None,None,Beijing Capital International,2024-11-16T01:25:00+00:00,Charles De Gaulle,2024-11-16T07:25:00+00:00
2024-11-16T01:25:00+00:00,scheduled,KLM,KL2267,None,None,Beijing Capital International,2024-11-16T01:25:00+00:00,Charles De Gaulle,2024-11-16T07:25:00+00:00
2024-11-16T00:35:00+00:00,scheduled,China Southern Airlines,CZ347,None,None,Guangzhou Baiyun International,2024-11-16T00:35:00+00:00,Charles De Gaulle,2024-11-16T06:40:00+00:00
2024-11-16T00:15:00+00:00,scheduled,Singapore Airlines,SQ336,None,None,Singapore Changi,2024-11-16T00:15:00+00:00,Charles De Gaulle,2024-11-16T07:15:00+00:00
2024-11-16T02:10:00+00:00,scheduled,Delta Air Lines,DL8706,None,None,Chhatrapati Shivaji International (Sahar International),2024-11-16T02:10:00+00:00,Charles De Gaulle,2024-11-16T07:35:00+00:00
2024-11-16T02:10:00+00:00,scheduled,KLM,KL2165,None,None,Chhatrapati Shivaji International (Sahar International),2024-11-16T02:10:00+00:00,Charles De Gaulle,2024-11-16T07:35:00+00:00
2024-11-16T02:10:00+00:00,scheduled,Air France,AF217,None,None,Chhatrapati Shivaji International (Sahar International),2024-11-16T02:10:00+00:00,Charles De Gaulle,2024-11-16T07:35:00+00:00
2024-11-16T00:05:00+00:00,scheduled,Thai Airways International,TG930,None,None,Suvarnabhumi International,2024-11-16T00:05:00+00:00,Charles De Gaulle,2024-11-16T06:50:00+00:00
2024-11-16T02:30:00+00:00,scheduled,Hainan Airlines,HU717,None,None,Chongqing Jiangbei International,2024-11-16T02:30:00+00:00,Charles De Gaulle,2024-11-16T07:30:00+00:00
2024-11-16T01:45:00+00:00,scheduled,Air France,AF225,None,None,Indira Gandhi International,2024-11-16T01:45:00+00:00,Charles De Gaulle,2024-11-16T07:10:00+00:00
2024-11-16T01:45:00+00:00,scheduled,KLM,KL2369,None,None,Indira Gandhi International,2024-11-16T01:45:00+00:00,Charles De Gaulle,2024-11-16T07:10:00+00:00
2024-11-16T01:45:00+00:00,scheduled,Delta Air Lines,DL8649,None,None,Indira Gandhi International,2024-11-16T01:45:00+00:00,Charles De Gaulle,2024-11-16T07:10:00+00:00
2024-11-16T02:40:00+00:00,scheduled,Air China LTD,CA875,None,None,Beijing Capital International,2024-11-16T02:40:00+00:00,Charles De Gaulle,2024-11-16T07:05:00+00:00
