flight_date,flight_status,airline,flight,aircraft,live,departure_airport,departure_time,arrival_airport,arrival_time
2024-11-09T00:05:00+00:00,scheduled,Xiamen Airlines,MF825,,,Xiamen,2024-11-09T00:05:00+00:00,Charles De Gaulle,2024-11-09T06:00:00+00:00
2024-11-08T08:15:00+00:00,landed,Brussels Airlines,SN3633,A320,,Brussels Airport,2024-11-08T08:15:00+00:00,Charles De Gaulle,2024-11-08T09:15:00+00:00
2024-11-08T13:05:00+00:00,active,Air India,AI143,B788,"{'updated': '2024-11-08T09:57:18+00:00', 'latitude': 33.0906, 'longitude': 66.9974, 'altitude': 11582.4, 'direction': 309, 'speed_horizontal': 794.508, 'speed_vertical': 0, 'is_ground': False}",Indira Gandhi International,2024-11-08T13:05:00+00:00,Charles De Gaulle,2024-11-08T17:55:00+00:00
2024-11-08T08:25:00+00:00,landed,Air Canada,AC2971,,,Pleso,2024-11-08T08:25:00+00:00,Charles De Gaulle,2024-11-08T10:30:00+00:00
2024-11-08T08:25:00+00:00,landed,Air France,AF5075,,,Pleso,2024-11-08T08:25:00+00:00,Charles De Gaulle,2024-11-08T10:30:00+00:00
2024-11-08T08:25:00+00:00,landed,Air India,AI7514,,,Pleso,2024-11-08T08:25:00+00:00,Charles De Gaulle,2024-11-08T10:30:00+00:00
2024-11-08T08:25:00+00:00,landed,Asiana Airlines,OZ9382,,,Pleso,2024-11-08T08:25:00+00:00,Charles De Gaulle,2024-11-08T10:30:00+00:00
2024-11-08T08:25:00+00:00,landed,United Airlines,UA7265,,,Pleso,2024-11-08T08:25:00+00:00,Charles De Gaulle,2024-11-08T10:30:00+00:00
2024-11-08T08:25:00+00:00,landed,Croatia Airlines,OU470,A319,,Pleso,2024-11-08T08:25:00+00:00,Charles De Gaulle,2024-11-08T10:30:00+00:00
2024-11-08T12:45:00+00:00,active,Vistara,UK23,B789,"{'updated': '2024-11-08T09:51:41+00:00', 'latitude': 33.3614, 'longitude': 66.6049, 'altitude': 12192, 'direction': 309, 'speed_horizontal': 766.728, 'speed_vertical': 0, 'is_ground': False}",Chhatrapati Shivaji International (Sahar International),2024-11-08T12:45:00+00:00,Charles De Gaulle,2024-11-08T17:55:00+00:00
