flight_date,flight_status,airline,flight,aircraft,live,departure_airport,departure_time,arrival_airport,arrival_time
2024-11-14T00:05:00+00:00,scheduled,Xiamen Airlines,MF825,None,None,Xiamen,2024-11-14T00:05:00+00:00,Charles De Gaulle,2024-11-14T06:00:00+00:00
2024-11-14T00:05:00+00:00,scheduled,Thai Airways International,TG930,None,None,Suvarnabhumi International,2024-11-14T00:05:00+00:00,Charles De Gaulle,2024-11-14T06:50:00+00:00
2024-11-14T00:15:00+00:00,scheduled,Cathay Pacific,CX261,None,None,Hong Kong International,2024-11-14T00:15:00+00:00,Charles De Gaulle,2024-11-14T07:35:00+00:00
2024-11-14T01:20:00+00:00,scheduled,Air China LTD,CA1035,None,None,Shanghai Pudong International,2024-11-14T01:20:00+00:00,Charles De Gaulle,2024-11-14T07:05:00+00:00
2024-11-14T00:15:00+00:00,scheduled,Singapore Airlines,SQ336,None,None,Singapore Changi,2024-11-14T00:15:00+00:00,Charles De Gaulle,2024-11-14T07:15:00+00:00
2024-11-14T00:35:00+00:00,scheduled,China Southern Airlines,CZ347,None,None,Guangzhou Baiyun International,2024-11-14T00:35:00+00:00,Charles De Gaulle,2024-11-14T06:40:00+00:00
2024-11-14T01:25:00+00:00,scheduled,Air France,AF381,None,None,Beijing Capital International,2024-11-14T01:25:00+00:00,Charles De Gaulle,2024-11-14T07:25:00+00:00
2024-11-14T00:15:00+00:00,scheduled,China Eastern Airlines,MU553,None,None,Shanghai Pudong International,2024-11-14T00:15:00+00:00,Charles De Gaulle,2024-11-14T06:00:00+00:00
2024-11-13T12:20:00+00:00,active,Air Austral,UU8735,None,None,Berlin Brandenburg Airport,2024-11-13T12:20:00+00:00,Charles De Gaulle,2024-11-13T14:10:00+00:00
2024-11-13T12:45:00+00:00,unknown,Air India,AI6349,None,None,Chhatrapati Shivaji International (Sahar International),2024-11-13T12:45:00+00:00,Charles De Gaulle,2024-11-13T17:55:00+00:00
2024-11-13T12:45:00+00:00,scheduled,Vistara,UK23,None,None,Chhatrapati Shivaji International (Sahar International),2024-11-13T12:45:00+00:00,Charles De Gaulle,2024-11-13T17:55:00+00:00
2024-11-13T10:35:00+00:00,scheduled,Qatar Airways,QR8251,None,None,Doha International,2024-11-13T10:35:00+00:00,Charles De Gaulle,2024-11-13T15:30:00+00:00
2024-11-13T09:05:00+00:00,landed,Nouvelair Tunisie,BJ508,A320,None,Djerba-Zarzis,2024-11-13T09:05:00+00:00,Charles De Gaulle,2024-11-13T12:10:00+00:00
2024-11-13T09:00:00+00:00,landed,Aegean Airlines,A33387,None,None,Gardermoen,2024-11-13T09:00:00+00:00,Charles De Gaulle,2024-11-13T11:25:00+00:00
2024-11-13T09:00:00+00:00,landed,Air France,AF4918,None,None,Gardermoen,2024-11-13T09:00:00+00:00,Charles De Gaulle,2024-11-13T11:25:00+00:00
2024-11-13T09:00:00+00:00,landed,El Al,LY9794,None,None,Gardermoen,2024-11-13T09:00:00+00:00,Charles De Gaulle,2024-11-13T11:25:00+00:00
2024-11-13T09:00:00+00:00,landed,SAS,SK837,A20N,None,Gardermoen,2024-11-13T09:00:00+00:00,Charles De Gaulle,2024-11-13T11:25:00+00:00
2024-11-13T13:05:00+00:00,scheduled,Air India,AI143,B789,"{'updated': '2024-11-13T11:38:30+00:00', 'latitude': 38.5613, 'longitude': 57.8253, 'altitude': 11582.4, 'direction': 294, 'speed_horizontal': 783.396, 'speed_vertical': 0, 'is_ground': False}",Indira Gandhi International,2024-11-13T13:05:00+00:00,Charles De Gaulle,2024-11-13T17:55:00+00:00
2024-11-13T07:30:00+00:00,active,JetBlue Airways,B65642,None,None,Keflavik International,2024-11-13T07:30:00+00:00,Charles De Gaulle,2024-11-13T12:00:00+00:00
2024-11-13T07:30:00+00:00,landed,Icelandair,FI542,B38M,None,Keflavik International,2024-11-13T07:30:00+00:00,Charles De Gaulle,2024-11-13T12:00:00+00:00
2024-11-13T11:05:00+00:00,scheduled,SmartLynx Airlines,6Y9,None,None,Sabiha Gokcen,2024-11-13T11:05:00+00:00,Charles De Gaulle,2024-11-13T13:15:00+00:00
2024-11-13T13:15:00+00:00,scheduled,Air France,AF6727,B77L,"{'updated': '2024-11-13T11:34:29+00:00', 'latitude': 22.5942, 'longitude': 49.6128, 'altitude': 9753.6, 'direction': 274, 'speed_horizontal': 863.032, 'speed_vertical': 0, 'is_ground': False}",Chhatrapati Shivaji International (Sahar International),2024-11-13T13:15:00+00:00,Charles De Gaulle,2024-11-13T18:30:00+00:00
2024-11-13T08:25:00+00:00,landed,Aegean Airlines,A33318,None,None,Kastrup,2024-11-13T08:25:00+00:00,Charles De Gaulle,2024-11-13T10:20:00+00:00
2024-11-13T08:25:00+00:00,landed,Air France,AF4581,None,None,Kastrup,2024-11-13T08:25:00+00:00,Charles De Gaulle,2024-11-13T10:20:00+00:00
2024-11-13T08:25:00+00:00,landed,SAS,SK565,A20N,None,Kastrup,2024-11-13T08:25:00+00:00,Charles De Gaulle,2024-11-13T10:20:00+00:00
2024-11-13T10:30:00+00:00,active,Sichuan Airlines,3U7213,None,None,Istanbul Airport,2024-11-13T10:30:00+00:00,Charles De Gaulle,2024-11-13T12:20:00+00:00
2024-11-13T10:30:00+00:00,active,Air Seychelles,HM6404,None,None,Istanbul Airport,2024-11-13T10:30:00+00:00,Charles De Gaulle,2024-11-13T12:20:00+00:00
2024-11-13T10:30:00+00:00,active,United Airlines,UA6926,None,None,Istanbul Airport,2024-11-13T10:30:00+00:00,Charles De Gaulle,2024-11-13T12:20:00+00:00
2024-11-13T10:30:00+00:00,landed,Turkish Airlines,TK1823,A333,None,Istanbul Airport,2024-11-13T10:30:00+00:00,Charles De Gaulle,2024-11-13T12:20:00+00:00
