flight_date,flight_status,airline,flight,aircraft,live,departure_airport,departure_time,arrival_airport,arrival_time
2024-11-03T00:05:00+00:00,active,Thai Airways International,TG930,None,None,Suvarnabhumi International,2024-11-03T00:05:00+00:00,Charles De Gaulle,2024-11-03T06:50:00+00:00
2024-11-03T01:25:00+00:00,scheduled,Air France,AF381,None,None,Beijing Capital International,2024-11-03T01:25:00+00:00,Charles De Gaulle,2024-11-03T07:25:00+00:00
2024-11-03T00:15:00+00:00,active,Cathay Pacific,CX261,None,None,Hong Kong International,2024-11-03T00:15:00+00:00,Charles De Gaulle,2024-11-03T07:35:00+00:00
2024-11-03T01:00:00+00:00,active,KLM,KL2330,None,None,Haneda Airport,2024-11-03T01:00:00+00:00,Charles De Gaulle,2024-11-03T07:55:00+00:00
2024-11-03T00:20:00+00:00,active,China Eastern Airlines,MU553,None,None,Shanghai Pudong International,2024-11-03T00:20:00+00:00,Charles De Gaulle,2024-11-03T06:00:00+00:00
2024-11-03T00:30:00+00:00,scheduled,Air Canada,AC6025,None,None,Bole International,2024-11-03T00:30:00+00:00,Charles De Gaulle,2024-11-03T06:30:00+00:00
2024-11-03T00:30:00+00:00,scheduled,ANA,NH5352,None,None,Bole International,2024-11-03T00:30:00+00:00,Charles De Gaulle,2024-11-03T06:30:00+00:00
2024-11-03T00:30:00+00:00,scheduled,Ethiopian Airlines,ET734,None,None,Bole International,2024-11-03T00:30:00+00:00,Charles De Gaulle,2024-11-03T06:30:00+00:00
2024-11-03T02:45:00+00:00,scheduled,CMA CGM Air Cargo,2C617,None,None,Heydar Aliyev International (Bina International),2024-11-03T02:45:00+00:00,Charles De Gaulle,2024-11-03T05:30:00+00:00
2024-11-03T02:40:00+00:00,scheduled,Etihad Airways,EY31,None,None,Abu Dhabi International,2024-11-03T02:40:00+00:00,Charles De Gaulle,2024-11-03T07:30:00+00:00
2024-11-03T01:30:00+00:00,scheduled,Air France,AF655,None,None,Dubai,2024-11-03T01:30:00+00:00,Charles De Gaulle,2024-11-03T06:25:00+00:00
2024-11-03T00:15:00+00:00,active,Singapore Airlines,SQ336,B77W,"{'updated': '2024-11-02T16:35:48+00:00', 'latitude': 2.1253, 'longitude': 103.873, 'altitude': 5410.2, 'direction': 345, 'speed_horizontal': 788.952, 'speed_vertical': 0, 'is_ground': False}",Singapore Changi,2024-11-03T00:15:00+00:00,Charles De Gaulle,2024-11-03T07:15:00+00:00
2024-11-03T00:25:00+00:00,scheduled,Air France,AF876,None,None,Dar Es Salam International Airport,2024-11-03T00:25:00+00:00,Charles De Gaulle,2024-11-03T08:10:00+00:00
2024-11-03T00:25:00+00:00,scheduled,KLM,KL2049,None,None,Dar Es Salam International Airport,2024-11-03T00:25:00+00:00,Charles De Gaulle,2024-11-03T08:10:00+00:00
2024-11-03T00:25:00+00:00,scheduled,Delta Air Lines,DL8231,None,None,Dar Es Salam International Airport,2024-11-03T00:25:00+00:00,Charles De Gaulle,2024-11-03T08:10:00+00:00
2024-11-03T01:55:00+00:00,scheduled,Air France,AF191,None,None,Bangalore International Airport,2024-11-03T01:55:00+00:00,Charles De Gaulle,2024-11-03T08:15:00+00:00
